close,﻿"닫기"
"Remove Item",﻿"물건을 제거"
"An item option with code %1 already exists.",﻿"상품 옵션 코드%1은 이미 존재 합니다."
"View Details",﻿"세부 정보 보기"
"Wish List",﻿"위시 리스트"
Comment,﻿"코멘트"
"Please enter an email address.",﻿"E 메일 주소를 입력 하십시오."
"Wish List Sharing",﻿"위시 리스트 공유"
"My Wish List",﻿"위시 리스트"
"%1's Wish List",﻿"%1의 위시 리스트"
"We can't specify a product.",﻿"제품을 찾을 수 없습니다"
"%1 has been added to your Wish List. Click <a href=""%2"">here</a> to continue shopping.",﻿"%1은 위시 리스트에 추가 되었습니다. <a href=""%2"">여기</a>를 눌러 쇼핑을 계속 하십시오. "
"We can't add the item to Wish List right now: %1.",﻿"이 항목을 위시 리스트에 현재 추가할 수 없습니다:%1."
"We can't add the item to Wish List right now.",﻿"이 항목을 위시 리스트에 현재 추가할 수 없습니다."
"This product(s) is out of stock.",﻿"이 상품은 품절입니다."
"We can't add the item to the cart right now.",﻿"이 항목을 장바구니에 추가 하는 것은 현재 지원 되지 않습니다."
"We can't load the Wish List item right now.",﻿"위시 리스트의 항목을 현재 로드할 수 없습니다."
"We can't configure the product right now.",﻿"이 제품의 현재 사용할 수 없습니다."
"The requested cart item doesn't exist.",﻿"요청 된 장바구니의 상품은 존재 하지 않습니다."
"%1 has been moved to wish list %2",﻿"%1은 위시 리스트 %2 로 이동 되었습니다."
"We can't delete the item from Wish List right now because of an error: %1.",﻿"오류:%1에 현재 위시 리스트에서 항목을 삭제할 수 없습니다."
"We can't delete the item from the Wish List right now.",﻿"이 항목을 위시 리스트에서 현재 삭제할 수 없습니다."
"Message length must not exceed %1 symbols",﻿"메시지 길이는%1 자 이상 이어야 합니다 없습니다."
"This wish list can be shared %1 more times.",﻿"이 위시 리스트는%1 번 이상 공유할 수 있습니다."
"Please input a valid email address.",﻿"올바른 이메일 주소를 입력 하십시오."
"Your wish list has been shared.",﻿"당신의 위시 리스트 공유 되었습니다."
"We can't delete item from Wish List right now.",﻿"항목을 위시 리스트에서 현재 삭제할 수 없습니다."
"Can't save description %1",﻿"정보를 저장할 수 없습니다%1"
"Can't update wish list",﻿"위시 리스트를 업데이트할 수 없습니다."
"%1 has been updated in your Wish List.",﻿"%1은 당신의 위시 리스트에 업데이트 되었습니다."
"We can't update your Wish List right now.",﻿"현재 당신의 위시 리스트는 업데이트할 수 없습니다."
"The requested Wish List doesn't exist.",﻿"요청 된 위시 리스트는 존재 하지 않습니다."
"We can't create the Wish List right now.",﻿"현재 위시 리스트를 만들 수 없습니다."
"Display number of items in wish list",﻿"위시 리스트에 있는 항목 수를 표시"
"We can't specify a wish list.",﻿"위시 리스트를 지정할 수 없습니다."
"Cannot specify product.",﻿"제품을 찾을 수 없습니다."
"Product is not salable.",﻿"제품은 판매 되지 않습니다."
"Invalid item option format.",﻿"잘못 된 옵션 형식입니다."
"%1 for ""%2"".",﻿"""%2""을 위한 %1"
"We couldn't add the following product(s) to the shopping cart: %1.",﻿"다음 상품을 장바구니에 추가할 수 없습니다:%1."
"Product(s) %1 have required options. Each product can only be added individually.",﻿"%1의 제품은 필수 옵션이 있습니다. 각 제품을 개별적으로 추가 됩니다."
"We can't update the Wish List right now.",﻿"현재 위시 리스트를 업데이트할 수 없습니다."
"%1 product(s) have been added to shopping cart: %2.",﻿"%1 개 항목을 장바구니에 추가 되었습니다:%2."
Comment:,﻿"코멘트:"
"We cannot retrieve the Wish List.",﻿"위시 리스트는 로드할 수 없습니다."
"%1's Wishlist",﻿"%1의 위시 리스트"
"We can't specify a wish list item.",﻿"위시 리스트의 항목을 확인할 수 없습니다."
error-message,﻿"error-message"
LocalizedException,﻿"LocalizedException"
"Share Wish List",﻿"위시 리스트를 공유"
"Add All to Cart",﻿"전체 장바구니"
"Update Wish List",﻿"위시 리스트 업데이트"
"View Product",﻿"상품 보기"
"This Wish List has no Items",﻿"이 위시 리스트에는 항목이 없습니다."
"Options Details",﻿"옵션 요약"
"RSS link to %1's wishlist",﻿"%1의 위시 리스트에 있는 RSS 연결"
"RSS Feed",﻿"RSS 피드"
"Wish List is empty now.",﻿"위시 리스트는 현재 비어 있습니다."
"Sharing Information",﻿"공유 대상 정보"
"Email addresses, separated by commas","메일 주소는 「, 」로 구분 해야 합니다"
"Check here to link an RSS feed to your Wish List.",﻿"RSS 피드로 당신의 위시 리스트를 링크 하려면 여기를 확인 하십시오."
"Last Added Items",﻿"마지막으로 추가 된 상품"
"Go to Wish List",﻿"위시 리스트에 가자"
"You have no items in your wish list.",﻿"위시 리스트는 비어 있습니다."
"Are you sure you want to remove this product from your Wish List?",﻿"이 상품을 당신의 위시 리스트에서 삭제 하 시겠습니까?"
"Email Sender",﻿"메일 보내기"
"Email Template",﻿"메일 템플릿"
"General Options",﻿"전체 옵션"
"Enable RSS",﻿"RSS를 사용 하도록 설정"
"Share Options",﻿"공유 옵션"
"Max Emails Allowed to be Sent",﻿"허용 된 보낸 최대 횟수"
"Email Text Length Limit",﻿"W 메일 텍스트의 길이를 최대"
"My Wish List Link",﻿"내 위시 리스트 링크"
"Display Wish List Summary",﻿"위시 리스트 요약 보기"
"No Items Found",﻿"상품을 찾을 수 없습니다."
"User Description",﻿"사용자 개요"
"Product Details and Comment",﻿"제품 세부 사항 및 설명"
"Entity type model '%1' is not found",﻿"엔터티 유형 모델 '%1'을 찾을 수 없습니다."
"Entity type model must be an instance of' ' \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType",﻿"엔터티 유형 모델 ' \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType 인스턴스에서 해야."
"There are no product types available for export",﻿"내보낼 수 있는 상품 유형 없음"
"Please correct the value for '%s'.",﻿"'%s'의 값을 수정 하십시오."
"Duplicate Unique Attribute for '%s'",﻿"유니크 속성 '%s'의 중복"
"Entity type model must be an instance of ' 'Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType",﻿"엔터티 유형 모델 ' Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType 인스턴스에서 해야."
"File directory '%1' is not readable.",﻿"파일 디렉토리 '%1' 로드할 수 없습니다."
"File directory '%1' is not writable.",﻿"파일 디렉토리 '%1'에 쓸 수 없습니다."
"Invalid custom option store.",﻿"잘못 된 사용자 지정 상점 옵션"
"Invalid custom option type.",﻿"잘못 된 사용자 지정 옵션"
"Empty custom option title.",﻿"사용자 지정 옵션 제목"
"Invalid custom option price.",﻿"잘못 된 사용자 지정 옵션 가격"
"Invalid custom option maximum characters value.",﻿"잘못 된 사용자 지정 옵션 최대 문자 숫자"
"Invalid custom option sort order.",﻿"잘못 된 사용자 지정 옵션이 정렬 순서"
"Invalid custom option value price.",﻿"잘못 된 사용자 지정 옵션 가격 값"
"Invalid custom option value sort order.",﻿"잘못 된 사용자 지정 옵션 값 나란히 단풍나무 순서"
"Custom option with such title already declared in source file.",﻿"소스 파일에 제목 사용자 지정 옵션은 선언 되어 있습니다."
"There are several existing custom options with such name.",﻿"동일한 이름의 사용자 지정 옵션이 이미 존재 합니다."
"Custom options have different types.",﻿"사용자 지정 옵션에는 여러 종류가 있습니다."
"Option entity must have a parent product entity.",﻿"옵션에는 부모 제품 엔터티를 해야 합니다."
"Please correct the parameters.",﻿"매개 변수를 수정 하십시오."
"File '%1' was not found or has read restriction.",﻿"파일 '%1' 파일이 없거나 로드 제한 되어 있습니다."
"Invalid domain name: ",﻿"잘못 된 도메인 이름: "
"Invalid cookie lifetime: ",﻿"잘못 된 cookie 저장 시간: "
"Invalid cookie path",﻿"잘못 된 cookie 경로"
"We use cookies to make your experience better.",﻿"Cookie를 사용 하 여 가용성을 높일 수 있습니다."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","새로운 e 프라이버시 규정을 준수 하기 위해 cookie를 설정 하는 동의를 요구 하 고 있습니다."
"<a href=""%1"">Learn more</a>.",﻿"<a href=""%1"">더 자세한</a>."
"Allow Cookies",﻿"Cookie를 허용"
"Default Cookie Settings",﻿"기본 Cookie 설정"
"Cookie Lifetime",﻿"Cookie의 만료"
"Cookie Path",﻿"Cookie 경로"
"Cookie Domain",﻿"Cookie 도메인"
"Use HTTP Only",﻿"HTTP만 사용 가능"
"Cookie Restriction Mode",﻿"Cookie 제한 모드"
Yes,﻿"Yes"
No,﻿"No"
Name,﻿"이름"
"Insert Variable...",﻿"변수 삽입 ..."
Variable,﻿"변수"
"Custom Variables",﻿"맞춤 변수"
"Add New Variable",﻿"새 변수를 추가"
"Custom Variable ""%1""",﻿"사용자 변수 ""%1"""
"New Custom Variable",﻿"새 사용자 변수"
"Variable Code",﻿"매개 변수 코드"
"Variable Name",﻿"변수 이름"
"Use Default Variable Values",﻿"표준 값을 사용"
"Variable HTML Value",﻿"모든 HTML 값"
"Variable Plain Value",﻿"변수의 원래 값"
"You deleted the custom variable.",﻿"사용자 정의 변수를 삭제 했습니다."
"You saved the custom variable.",﻿"사용자 지정 변수를 저장 했습니다."
"Variable Code must be unique.",﻿"매개 변수 코드를 고유 해야 합니다."
"Validation has failed.",﻿"인증 실패"
"Variable ID",﻿"매개 변수 ID"
Password,﻿"암호"
Required,﻿"필수"
Title,﻿"제목"
Height,﻿"높이"
Width,﻿"너비"
Regular,﻿"일반적으로 납품"
Documents,﻿"문서"
"Unable to retrieve tracking",﻿"수하물 추적 정보를 로드할 수 없습니다"
Sample,﻿"샘플"
"Not Required",﻿"강제적이 지 않다"
"Empty response",﻿"빈 회신"
Length,﻿"길이"
Size,﻿"크기"
Girth,﻿"치수"
"Sorry, something went wrong. Please try again or contact us and we'll try to help.","問題が発生しました。 再度お試しになるか我々に連絡をいただければ解決のお手伝いをします。"
"User ID",﻿"사용자 ID"
"First-Class Mail Large Envelope",﻿"일류 우편 봉투 大"
"First-Class Mail Letter",﻿"일류 엽서"
"First-Class Mail Parcel",﻿"일류 우편 소포"
"First-Class Mail Postcards",﻿"일류 우편 엽서"
"Priority Mail",﻿"우선 메일"
"Priority Mail Express Hold For Pickup",﻿"Priority Mail Express Hold For Pickup"
"Priority Mail Express",﻿"우선 메일 익스프레스"
"Standard Post",﻿"일반적으로 납품"
"Media Mail",﻿"미디어 메일"
"Library Mail",﻿"도 서 우편"
"Priority Mail Express Flat Rate Envelope",﻿"Priority Mail Express Flat Rate Envelope"
"First-Class Mail Large Postcards",﻿"First-Class Mail Large Postcards"
"Priority Mail Flat Rate Envelope",﻿"Priority Mail Flat Rate Envelope"
"Priority Mail Medium Flat Rate Box",﻿"Priority Mail Medium Flat Rate Box"
"Priority Mail Large Flat Rate Box",﻿"Priority Mail Large Flat Rate Box"
"Priority Mail Express Sunday/Holiday Delivery",﻿"Priority Mail Express Sunday/Holiday Delivery"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope",﻿"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope"
"Priority Mail Express Flat Rate Envelope Hold For Pickup",﻿"Priority Mail Express Flat Rate Envelope Hold For Pickup"
"Priority Mail Small Flat Rate Box",﻿"Priority Mail Small Flat Rate Box"
"Priority Mail Padded Flat Rate Envelope",﻿"Priority Mail Padded Flat Rate Envelope"
"Priority Mail Express Legal Flat Rate Envelope",﻿"Priority Mail Express Legal Flat Rate Envelope"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup",﻿"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope",﻿"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope"
"Priority Mail Hold For Pickup",﻿"Priority Mail Hold For Pickup"
"Priority Mail Large Flat Rate Box Hold For Pickup",﻿"Priority Mail Large Flat Rate Box Hold For Pickup"
"Priority Mail Medium Flat Rate Box Hold For Pickup",﻿"Priority Mail Medium Flat Rate Box Hold For Pickup"
"Priority Mail Small Flat Rate Box Hold For Pickup",﻿"Priority Mail Small Flat Rate Box Hold For Pickup"
"Priority Mail Flat Rate Envelope Hold For Pickup",﻿"Priority Mail Flat Rate Envelope Hold For Pickup"
"Priority Mail Gift Card Flat Rate Envelope",﻿"Priority Mail Gift Card Flat Rate Envelope"
"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup",﻿"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup"
"Priority Mail Window Flat Rate Envelope",﻿"Priority Mail Window Flat Rate Envelope"
"Priority Mail Window Flat Rate Envelope Hold For Pickup",﻿"Priority Mail Window Flat Rate Envelope Hold For Pickup"
"Priority Mail Small Flat Rate Envelope",﻿"Priority Mail Small Flat Rate Envelope"
"Priority Mail Small Flat Rate Envelope Hold For Pickup",﻿"Priority Mail Small Flat Rate Envelope Hold For Pickup"
"Priority Mail Legal Flat Rate Envelope",﻿"Priority Mail Legal Flat Rate Envelope"
"Priority Mail Legal Flat Rate Envelope Hold For Pickup",﻿"Priority Mail Legal Flat Rate Envelope Hold For Pickup"
"Priority Mail Padded Flat Rate Envelope Hold For Pickup",﻿"Priority Mail Padded Flat Rate Envelope Hold For Pickup"
"Priority Mail Regional Rate Box A",﻿"Priority Mail Regional Rate Box A"
"Priority Mail Regional Rate Box A Hold For Pickup",﻿"Priority Mail Regional Rate Box A Hold For Pickup"
"Priority Mail Regional Rate Box B",﻿"Priority Mail Regional Rate Box B"
"Priority Mail Regional Rate Box B Hold For Pickup",﻿"Priority Mail Regional Rate Box B Hold For Pickup"
"First-Class Package Service Hold For Pickup",﻿"First-Class Package Service Hold For Pickup"
"Priority Mail Express Flat Rate Boxes",﻿"Priority Mail Express Flat Rate Boxes"
"Priority Mail Express Flat Rate Boxes Hold For Pickup",﻿"Priority Mail Express Flat Rate Boxes Hold For Pickup"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes",﻿"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes"
"Priority Mail Regional Rate Box C",﻿"Priority Mail Regional Rate Box C"
"Priority Mail Regional Rate Box C Hold For Pickup",﻿"Priority Mail Regional Rate Box C Hold For Pickup"
"First-Class Package Service",﻿"First-Class Package Service"
"Priority Mail Express Padded Flat Rate Envelope",﻿"Priority Mail Express Padded Flat Rate Envelope"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup",﻿"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope",﻿"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope"
"Priority Mail Express International",﻿"Priority Mail Express International"
"Priority Mail International",﻿"Priority Mail International"
"Global Express Guaranteed (GXG)",﻿"Global Express Guaranteed (GXG)"
"Global Express Guaranteed Document",﻿"Global Express Guaranteed Document"
"Global Express Guaranteed Non-Document Rectangular",﻿"Global Express Guaranteed Non-Document Rectangular"
"Global Express Guaranteed Non-Document Non-Rectangular",﻿"Global Express Guaranteed Non-Document Non-Rectangular"
"Priority Mail International Flat Rate Envelope",﻿"Priority Mail International Flat Rate Envelope"
"Priority Mail International Medium Flat Rate Box",﻿"Priority Mail International Medium Flat Rate Box"
"Priority Mail Express International Flat Rate Envelope",﻿"Priority Mail Express International Flat Rate Envelope"
"Priority Mail International Large Flat Rate Box",﻿"Priority Mail International Large Flat Rate Box"
"USPS GXG Envelopes",﻿"USPS GXG Envelopes"
"First-Class Mail International Letter",﻿"First-Class Mail International Letter"
"First-Class Mail International Large Envelope",﻿"First-Class Mail International Large Envelope"
"First-Class Package International Service",﻿"First-Class Package International Service"
"Priority Mail International Small Flat Rate Box",﻿"Priority Mail International Small Flat Rate Box"
"Priority Mail Express International Legal Flat Rate Envelope",﻿"Priority Mail Express International Legal Flat Rate Envelope"
"Priority Mail International Gift Card Flat Rate Envelope",﻿"Priority Mail International Gift Card Flat Rate Envelope"
"Priority Mail International Window Flat Rate Envelope",﻿"Priority Mail International Window Flat Rate Envelope"
"Priority Mail International Small Flat Rate Envelope",﻿"Priority Mail International Small Flat Rate Envelope"
"First-Class Mail International Postcard",﻿"First-Class Mail International Postcard"
"Priority Mail International Legal Flat Rate Envelope",﻿"Priority Mail International Legal Flat Rate Envelope"
"Priority Mail International Padded Flat Rate Envelope",﻿"Priority Mail International Padded Flat Rate Envelope"
"Priority Mail International DVD Flat Rate priced box",﻿"Priority Mail International DVD Flat Rate priced box"
"Priority Mail International Large Video Flat Rate priced box",﻿"Priority Mail International Large Video Flat Rate priced box"
"Priority Mail Express International Flat Rate Boxes",﻿"Priority Mail Express International Flat Rate Boxes"
"Priority Mail Express International Padded Flat Rate Envelope",﻿"Priority Mail Express International Padded Flat Rate Envelope"
Letter,﻿"편지"
Flat,﻿"정액"
Parcel,﻿"소포"
"Flat-Rate Box",﻿"정액 소포"
"Flat-Rate Envelope",﻿"고정 된 봉투"
Rectangular,﻿"직사각형"
Non-rectangular,﻿"비 직사각형"
Large,﻿"대형"
track_summary,﻿"추적 요약"
"Service type does not match",﻿"서비스 유형이 일치 하지 않습니다."
Merchandise,﻿"물품"
Gift,﻿"선물"
Return,﻿"반환"
Other,﻿"기타"
Debug,﻿"디버깅"
"Enabled for Checkout",﻿"사용"
"Gateway URL",﻿"게이트웨이 URL"
"Calculate Handling Fee",﻿"수수료 계산"
"Handling Applied",﻿"수수료 적용 됨"
"Handling Fee",﻿"수수료"
"Allowed Methods",﻿"허용 하는 배송 방법"
"Displayed Error Message",﻿"오류 메시지 표시"
"Free Method",﻿"무료 메서드"
"Free Shipping Amount Threshold",﻿"무료 배송 금액 제한"
"Ship to Applicable Countries",﻿"사용 가능한 국가에만 배송 하"
"Ship to Specific Countries",﻿"특정 국가에만 배송 하"
"Show Method if Not Applicable",﻿"배송 방법을 사용할 수 없는 경우에도 표시"
"Packages Request Type",﻿"포장 요청 유형"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)",﻿"최대 적재 중량 (운송 업체에 문의 하십시오)"
Mode,﻿"모드"
USPS,﻿"USPS"
"Secure Gateway URL",﻿"안전한 Gateway URL"
Machinable,﻿"マシンナブル"
"Provided form does not exist",﻿"제공 된 폼은 존재 하지 않습니다."
"Incorrect CAPTCHA",﻿"잘못 된 CAPTCHA입니다"
Always,﻿"항상"
"After number of attempts to login",﻿"CAPTCHA를 표시할 로그인 실패 횟수"
"Incorrect CAPTCHA.",﻿"잘못 된 CAPTCHA."
"Please enter the letters from the image",﻿"이미지에 있는 문자를 입력 하세요"
"<strong>Attention</strong>: Captcha is case sensitive.",﻿"<Strong> 참고 </strong>: CAPTCHA는 대/소문자를 구분 합니다."
"Reload captcha",﻿"CAPTCHA의 다시 읽기"
"Please type the letters below",﻿"다음에 문자를 입력 하십시오."
CAPTCHA,﻿"CAPTCHA"
"Enable CAPTCHA in Admin",﻿"관리 화면에서 CAPTCHA를 사용 하려면"
Font,﻿"글꼴"
Forms,﻿"대상 양식"
"Displaying Mode",﻿"디스플레이 모드"
"Number of Unsuccessful Attempts to Login",﻿"로그인 실패 횟수"
"If 0 is specified, CAPTCHA on the Login form will be always available.","만약 0이 지정 되 면, 로그인 폼의 CAPTCHA는 항상 활성화 됩니다."
"CAPTCHA Timeout (minutes)",﻿"CAPTCHA 만료 시간 (분)"
"Number of Symbols",﻿"문자 수"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)",﻿"최대 8 문자를 지정 하십시오. 범위를 지정할 수 있습니다 (예: 3-5)"
"Symbols Used in CAPTCHA",﻿"CAPTCHA에 사용 되는 문자"
"
                        Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.
                    ",﻿""
                        　문자 (a-z 또는 A-Z) 또는 숫자 (0-9)만이 필드를 사용 하십시오. 공백이 나 다른 문자는 사용할 수 없습니다. < Br/> 유사한 외형의 문자 ("i", "" l "", "1")를 사용 하는 고객에 게 제대로 인식 하지 못했던 것 같습니다.
                    "
"Case Sensitive",﻿"대/소문자를 구분 하는"
"Enable CAPTCHA on Frontend",﻿"프런트 엔드에서 CAPTCHA를 사용 하려면"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.",﻿"""사용자 생성"" and ""암호 분실""  CAPCHA 양식이 선택 되는 경우 항상 사용할 수 있습니다. "
Price,﻿"가격"
Cancel,﻿"취소"
From,﻿"시작"
To,﻿"종료"
"Percent Discount",﻿"할인율"
"-- Select --",﻿"--선택 하세요--"
Dynamic,﻿"형용사"
Fixed,﻿"고정"
"Create New Option",﻿"새 옵션 만들기"
"Bundle Items",﻿"세트 상품"
"Add Products to Option",﻿"옵션 상품 추가"
"Delete Option",﻿"옵션 제거"
"Please enter search conditions to view products.",﻿"상품을 표시 하는 검색 조건을 지정 하십시오."
ID,﻿"ID"
SKU,﻿"상품 번호"
"Use Default Value",﻿"표준 값을 사용"
"There is no defined renderer for ""%1"" option type.",﻿"""%1""  옵션 형식에 정의 된 렌더러가 없습니다. "
"Only implemented for bundle product",﻿"번들 상품에만 사용 가능 합니다"
"Product with specified sku: ""%1"" is not a bundle product",﻿"sku에서 지정한 상품: ""%1""번들 상품에 없습니다. "
"Bundle product could not contain another composite product",﻿"묶음 상품은 다른 복합 상품을 포함할 수 없습니다."
"Id field of product link is required",﻿"ID 필드 제품 연결은 필수입니다."
"Can not find product link with id ""%1""",﻿"ID ""%1""의 제품 링크를 찾을 수 없습니다. "
"Could not save child: ""%1""",﻿"Child를 저장할 수 없습니다: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""",﻿"sku에서 지정한 상품:""%1"": 이미 제품:""%2""에 이미 할당 되어 있습니다. "
"Child with specified sku: ""%1"" already assigned to product: ""%2""",﻿"sku에 지정 된 Child:""%1"" 이미 상품: ""%2""에 지정 되어 있습니다. "
"Product with specified sku: %1 is not a bundle product",﻿"지정 된 sku 상품: %1 번들 상품에 없습니다."
"Requested bundle option product doesn't exist",﻿"요청 된 번들 옵션 상품은 존재 하지 않습니다."
"Requested option doesn't exist",﻿"요청 된 옵션은 없습니다."
"Cannot delete option with id %1",﻿"id %1 옵션은 삭제할 수 없습니다."
"Could not save option",﻿"옵션을 저장할 수 없습니다."
"As Low as",﻿"작거나"
"Price Range",﻿"가격 범위"
"Please specify product option(s).",﻿"상품 옵션을 지정 하십시오."
"The required options you selected are not available.",﻿"당신이 선정한 필수 옵션은 사용할 수 없습니다."
"Please select all required options.",﻿"필수 옵션을 모두 선택 하십시오."
N/A,﻿"해당 없음"
Percent,﻿"백분율"
Qty:,﻿"개수:"
"Choose a selection...",﻿"선택 하십시오 ..."
"Ship Bundle Items",﻿"세트 상품의 배송 방법"
Separately,﻿"별도"
Together,﻿"모아"
"Option Title",﻿"옵션 제목"
"Store View Title",﻿"상점 이름"
"Input Type",﻿"입력 형식"
Position,﻿"추천"
"There are no products in this option.",﻿"이 옵션의 제품은 아닙니다."
"New Option",﻿"새로운 옵션"
Default,﻿"표준"
"Price Type",﻿"가격 유형"
"Default Quantity",﻿"기본 수량"
"User Defined",﻿"사용자 정의"
Ordered,﻿"주문 받는"
Invoiced,﻿"청구 됨"
Shipped,﻿"배송 받는"
Refunded,﻿"환불 되었습니다"
